Firm
MADISON CVD CALL AND EQ STRTGY
SPROTT PHYSICAL PLAT & PALLA
SPROTT PHYSICAL PLAT AND PALLA
VANGUARD S&P500 INDX ETF CAD
VANGUARD S AND P500 INDX ETF CAD
PIMCO GLBL STOCKSPLUS & INCM
PIMCO GLBL STOCKSPLUS AND INCM
INVESCO DYNAMC FOOD & BV ETF
INVESCO DYNAMC FOOD AND BV ETF
INVESCO DYNAMC LER & ENT ETF
INVESCO DYNAMC LER AND ENT ETF
INVESCO DYNMC BIOT & GEN ETF
INVESCO DYNMC BIOT AND GEN ETF
LAZARD WORLD DIV & FUND
LAZARD WORLD DIV AND FUND
FIRST TR MLP & ENRGY INCM FD
FIRST TR MLP AND ENRGY INCM FD
INVESCO DYNAMC OIL & GAS ETF
INVESCO DYNAMC OIL AND GAS ETF
INVESCO DYNMC EG EX & PD ETF
INVESCO DYNMC EG EX AND PD ETF
INVESCO DYNAMIC BD & CON ETF
INVESCO DYNAMIC BD AND CON ETF
INVS AEROSPACE & DEFENSE ETF
INVS AEROSPACE AND DEFENSE ETF
SPDR S&P 400 MID CAP GRW ETF
SPDR S AND P 400 MID CAP GRW ETF
INVESCO S&P 500 DWNSD HG ETF
INVESCO S AND P 500 DWNSD HG ETF
ISHARES S&P/TSX CAPPED MAT
ISHARES S AND P/TSX CAPPED MAT
INVESCO S&P 500 PURE VLU ETF
INVESCO S AND P 500 PURE VLU ETF
INVESCO S&P 500 PURE GTH ETF
INVESCO S AND P 500 PURE GTH ETF
INVESCO S&P MIDCAP 400 ETF
INVESCO S AND P MIDCAP 400 ETF
INVESCO S&P MC 400 P GTH ETF
INVESCO S AND P MC 400 P GTH ETF
INVESCO S&P S 600 PURE V ETF
INVESCO S AND P S 600 PURE V ETF
INVESCO S&P SC 600 GWTH ETF
INVESCO S AND P SC 600 GWTH ETF
INVESCO S&P E M LW VOLT ETF
INVESCO S AND P E M LW VOLT ETF
INVESCO S&P INTL DEV LW VOLT
INVESCO S AND P INTL DEV LW VOLT
POWERSHARES S&P 500 LO V IDX
POWERSHARES S AND P 500 LO V IDX
ISHARES MSCI GBL METLS & MNG
ISHARES MSCI GBL METLS AND MNG
INVESCO S&P EMRG MKT MTM ETF
INVESCO S AND P EMRG MKT MTM ETF
INVESCO S&P INTL DEV MTM ETF
INVESCO S AND P INTL DEV MTM ETF
ISH US & IN HG YLD CP BD ETF
ISH US AND IN HG YLD CP BD ETF
POWERSHARES S&P/TSX LOW VOL
POWERSHARES S AND P/TSX LOW VOL
FIRST TRUST PFD SECS & INCM
FIRST TRUST PFD SECS AND INCM
INVESCO S&P SMCP LOW VOL ETF
INVESCO S AND P SMCP LOW VOL ETF
INVESCO S&P MIDCAP LOW VOLAT
INVESCO S AND P MIDCAP LOW VOLAT
PRECIOUS METALS & MINING TR
PRECIOUS METALS AND MINING TR
SPDR S&P OIL&GAS EQUIP & SVC
SPDR S AND P OIL AND GAS EQUIP AND SVC
SPDR S&P REGIONAL BKG ETF
SPDR S AND P REGIONAL BKG ETF
SPDR S&P OIL&GAS EXPL & PROD
SPDR S AND P OIL AND GAS EXPL AND PROD
ISHARES S&P GSCI COMDTY INDX
ISHARES S AND P GSCI COMDTY INDX
ISHARES S&P/TSX CDN DIV ARIS
ISHARES S AND P/TSX CDN DIV ARIS
BLOOM US INCOME & GROWTH FD
BLOOM US INCOME AND GROWTH FD
INVESCO S&P 500 EQ WT MT ETF
INVESCO S AND P 500 EQ WT MT ETF
INVESCO S&P 500 EQ WT EG ETF
INVESCO S AND P 500 EQ WT EG ETF
INVESCO S&P 500 EQ WT IN ETF
INVESCO S AND P 500 EQ WT IN ETF
INVESCO S&P 500 EQ WT FN ETF
INVESCO S AND P 500 EQ WT FN ETF
INVESCO S&P 500 EQ WT HL ETF
INVESCO S AND P 500 EQ WT HL ETF
INVESCO S&P 500 EQ WT UT ETF
INVESCO S AND P 500 EQ WT UT ETF
INVESCO S&P 500 EQ WT CD ETF
INVESCO S AND P 500 EQ WT CD ETF
INVESCO S&P 500 EQ WT CN ETF
INVESCO S AND P 500 EQ WT CN ETF
COHEN & STEERS CL-END OPP FD
COHEN AND STEERS CL-END OPP FD
MELCO RESORTS & ENTERTAINMEN
HORIZONS BETAPRO S&PTSX60 BU
HORIZONS BETAPRO S AND PTSX60 BU
HORIZONS BETAPRO S&PTSX60 BE
HORIZONS BETAPRO S AND PTSX60 BE
SPDR S&P GLOBAL INFRASTR ETF
SPDR S AND P GLOBAL INFRASTR ETF
ISHARES S&P GLOBAL IND (CAD)
ISHARES S AND P GLOBAL IND (CAD)
ISHARES S&P GBL CONSUM (CAD)
ISHARES S AND P GBL CONSUM (CAD)
ALLIANZGI EQUITY & CONV INCM
ALLIANZGI EQUITY AND CONV INCM
SPDR S&P EMERGING ASIA PACIF
SPDR S AND P EMERGING ASIA PACIF
ISHARES S&P/TSX CDN PFD SHR
ISHARES S AND P/TSX CDN PFD SHR
FIRST TR S&P REIT INDEX FUND
FIRST TR S AND P REIT INDEX FUND
INVESCO S&P GBL WTR IN ETF
INVESCO S AND P GBL WTR IN ETF
ISHARES EQUAL WT BANC&LIFECO
ISHARES EQUAL WT BANC AND LIFECO
ISHARES CORE S&P 500 IDX ETF
ISHARES CORE S AND P 500 IDX ETF
ADVENT CLAYMORE CV SEC&IN II
ADVENT CLAYMORE CV SEC AND IN II
ISHARES S&P GBL WATER ETF
ISHARES S AND P GBL WATER ETF
GABELLI EQUITY HLTHCR & WLLN
GABELLI EQUITY HLTHCR AND WLLN
HORIZONS BETAPRO S&P BULL PL
HORIZONS BETAPRO S AND P BULL PL
HORIZONS BETAPRO S&P BEAR PL
HORIZONS BETAPRO S AND P BEAR PL
INVESCO S&P INT DVLP QLT ETF
INVESCO S AND P INT DVLP QLT ETF
INVESCO S&P GBL DIV OPP ETF
INVESCO S AND P GBL DIV OPP ETF
DELAWARE ENHNCD GLBL DIV&INC
DELAWARE ENHNCD GLBL DIV AND INC
COHEN & STEERS GLBL INCM BD
COHEN AND STEERS GLBL INCM BD
VANECK VECTORS URANIUM & NUC
VANECK VECTORS URANIUM AND NUC
CUSHING MLP & INFASTCR TR FD
CUSHING MLP AND INFASTCR TR FD
NORTHERN MINERALS & EXPL
NORTHERN MINERALS AND EXPL
COHEN & STEERS GLBL RLTY MJR
COHEN AND STEERS GLBL RLTY MJR
SPDR S&P EMRG MARKETS SM CAP
SPDR S AND P EMRG MARKETS SM CAP
HORIZONS BETAPRO S&P500 BE
HORIZONS BETAPRO S AND P500 BE
HORIZONS BETAPRO S&P500 BU
HORIZONS BETAPRO S AND P500 BU
FLAHERTY & CRUMRINE DYNM PFD
FLAHERTY AND CRUMRINE DYNM PFD
INVESCO GBL GOLD & PR MT ETF
INVESCO GBL GOLD AND PR MT ETF
FIRST FARMERS & MERCHANTS CP
FIRST FARMERS AND MERCHANTS CP
BMO S&P/TSX CAPPED COMP ETF
BMO S AND P/TSX CAPPED COMP ETF
BMO S&P 500 HDGD CAD IDX ETF
BMO S AND P 500 HDGD CAD IDX ETF
TORTOISE POWER & ENERGY INFR
BMO EQUAL WT OIL & GAS ETF
BMO EQUAL WT OIL AND GAS ETF
INVESCO S&P SMCP MATERIALS
INVESCO S AND P SMCP MATERIALS
INVESCO EXCHANGES&P SMALLCAP
INVESCO EXCHANGES AND P SMALLCAP
INVESCO S&P SMALCAP INDS ETF
INVESCO S AND P SMALCAP INDS ETF
INVESCO S&P SMCP INFO TECH
INVESCO S AND P SMCP INFO TECH
INVESCO S&P SMCP CONS STPLES
INVESCO S AND P SMCP CONS STPLES
INVESCO S&P SMALLCAP UTILITI
INVESCO S AND P SMALLCAP UTILITI
INVESCO S&P SMCP HLTH CARE
INVESCO S AND P SMCP HLTH CARE
INVESCO S&P SMCP CONSR DISCR
INVESCO S AND P SMCP CONSR DISCR
VANGUARD S&P 400 GROWTH ETF
VANGUARD S AND P 400 GROWTH ETF
VANGUARD S&P 400 VALUE ETF
VANGUARD S AND P 400 VALUE ETF
VANGUARD S&P SM-CAP 600 ETF
VANGUARD S AND P SM-CAP 600 ETF
SPDR S&P GLB NATURAL RES ETF
SPDR S AND P GLB NATURAL RES ETF
ISHARES S&P/TSX N/A PRF STK
ISHARES S AND P/TSX N/A PRF STK
TRANSPORTATION & LOG SYS
TRANSPORTATION AND LOG SYS
COHEN & STEERS SL PFD &
COHEN AND STEERS SL PFD  AND 
HORIZONS S&P500 (CDN) ETF
HORIZONS S AND P500 (CDN) ETF
FIRST ASSET US & CAN LIFECO
FIRST ASSET US AND CAN LIFECO
INVESCO EXCH TRADED KWB &CAS
INVESCO EXCH TRADED KWB  AND CAS
INVESCO S&P SM 600 EL WT ETF
INVESCO S AND P SM 600 EL WT ETF
INVESCO S&P MDCAP 400 ETF
INVESCO S AND P MDCAP 400 ETF
CANADIAN UTIL & TEL INCM FD
CANADIAN UTIL AND TEL INCM FD
SPDR S&P HLTH CARE EQUIP ETF
SPDR S AND P HLTH CARE EQUIP ETF
GAMCO NAT RES GOLD & INCM TR
GAMCO NAT RES GOLD AND INCM TR
SPDR S&P EMERG MKTS DIV ETF
SPDR S AND P EMERG MKTS DIV ETF
BLACKROCK RESOURCES & CMD ST
BLACKROCK RESOURCES AND CMD ST
SPDR NUVEEN S&P HI YLD MUNI
SPDR NUVEEN S AND P HI YLD MUNI
ISHARES S&P GLB HLTHCR ETF
ISHARES S AND P GLB HLTHCR ETF
ISHARES S&P/TSX CAP UTIL IDX
ISHARES S AND P/TSX CAP UTIL IDX
ISHARES S&P/TSX CNSMR STAPLE
ISHARES S AND P/TSX CNSMR STAPLE
ISHARES S&P/TSX COMP HI DVD
ISHARES S AND P/TSX COMP HI DVD
ISHARES S&P/TSX GLBL BS MTLS
ISHARES S AND P/TSX GLBL BS MTLS
INVESCO EX TR S&P 500 HB ETF
INVESCO EX TR S AND P 500 HB ETF
INVESCO S&P 500 LOW VOLATILI
INVESCO S AND P 500 LOW VOLATILI
JOHN HANCOCK HDGD EQY & INCM
JOHN HANCOCK HDGD EQY AND INCM
HORIZONS S&P/TSX CPD ENERGY
HORIZONS S AND P/TSX CPD ENERGY
HORIZONS S&P/TSX CPD FINLS
HORIZONS S AND P/TSX CPD FINLS
CENTER COAST MLP & INFRAS FD
CENTER COAST MLP AND INFRAS FD
PROSHARES S&P 500 DIV ARISTO
PROSHARES S AND P 500 DIV ARISTO
ISHARES S&P US DIV GROWERS
ISHARES S AND P US DIV GROWERS
SPDR S&P HEALTH CARE SRVCS
SPDR S AND P HEALTH CARE SRVCS
GLOBAL X NEXT EMG & FRONTIER
GLOBAL X NEXT EMG AND FRONTIER
TORTOISE PIPELINE & ENRGY FD
TORTOISE PIPELINE AND ENRGY FD
TOWN & COUNTRY FINANCIAL CP
TOWN AND COUNTRY FINANCIAL CP
BALDWIN & LYONS B
BALDWIN AND LYONS B
FIRST TR NEW OPP MLP &ENERGY
FIRST TR NEW OPP MLP  AND ENERGY
GABELLI GBL SM & MID CAP VAL
GABELLI GBL SM AND MID CAP VAL
CTRL EUR RUSSIA & TURKEY FD
CTRL EUR RUSSIA AND TURKEY FD
POWERSHRS S&P EM MKT LO VLTY
POWERSHRS S AND P EM MKT LO VLTY
POWERSHARES S&P INTL LOW VOL
POWERSHARES S AND P INTL LOW VOL
EMERG MKTS INTERNET & ECOMRC
EMERG MKTS INTERNET AND ECOMRC
PROSHARES S&P400 DIV ARISTO
PROSHARES S AND P400 DIV ARISTO
INVESCO S&P HIGH INCOME INFR
INVESCO S AND P HIGH INCOME INFR
ISHARES S&P US TOTL MKT ETF
ISHARES S AND P US TOTL MKT ETF
ISHARES S&P US TTL MKT CD-HG
ISHARES S AND P US TTL MKT CD-HG
FLAHERTY & CRUMRINE PFD INCM
FLAHERTY AND CRUMRINE PFD INCM
INVESCO S&P 500 EXRT SLV ETF
INVESCO S AND P 500 EXRT SLV ETF
HARVEST TECH ACH GT & IN ETF
HARVEST TECH ACH GT AND IN ETF
DIREXION DLY S&P BIOTEC BU3X
DIREXION DLY S AND P BIOTEC BU3X
DIREXION DLY S&P BIOTEC BE3X
DIREXION DLY S AND P BIOTEC BE3X
DIREXION DLY S&P OIL&GAS BU
DIREXION DLY S AND P OIL AND GAS BU
DIREXION DLY S&P OIL&GAS BE
DIREXION DLY S AND P OIL AND GAS BE
FLAHERTY & CRUMR PFD INCM OP
FLAHERTY AND CRUMR PFD INCM OP
ISHARES S&P US MIDCAP (CAD)
ISHARES S AND P US MIDCAP (CAD)
ISHARES S&P US MID-CAP IDX
ISHARES S AND P US MID-CAP IDX
INVESCO S&P 500 EQ WT RE ETF
INVESCO S AND P 500 EQ WT RE ETF
LMP CAPITAL & INCOME FND
LMP CAPITAL AND INCOME FND
PROSHARES S&P 500 EX-ENR ETF
PROSHARES S AND P 500 EX-ENR ETF
PROSHARES S&P 500 EX-FIN ETF
PROSHARES S AND P 500 EX-FIN ETF
PROSHARES S&P 500 EX-HLTH CR
PROSHARES S AND P 500 EX-HLTH CR
GLOBAL HLTHCAR INCM & GR ETF
GLOBAL HLTHCAR INCM AND GR ETF
INVESCO S&P 500 ENHD VAL ETF
INVESCO S AND P 500 ENHD VAL ETF
SPDR S&P 500 HIGH DIV ETF
SPDR S AND P 500 HIGH DIV ETF
COHEN & STEERS INFRASTR FD
COHEN AND STEERS INFRASTR FD
STRATEGIC ENVIRONMTL& ENERGY
STRATEGIC ENVIRONMTL AND  ENERGY
SPDR S&P 500 FOSSL FUEL RSRV
SPDR S AND P 500 FOSSL FUEL RSRV
SPDR S&P N AMERN NAT RES ETF
SPDR S AND P N AMERN NAT RES ETF
YANGTZE RIV PORT & LGSTC
DUFF & PHELPS UTIL &CP BD TR
DUFF AND PHELPS UTIL  AND CP BD TR
TD S&P/TSX CAPPED COMP INDEX
TD S AND P/TSX CAPPED COMP INDEX
INNOVATOR S&P INVT GRD PFD E
INNOVATOR S AND P INVT GRD PFD E
DIREXION DAILY S&P 500 BR 1X
DIREXION DAILY S AND P 500 BR 1X
SPDR S&P TECH HARDWARE ETF
SPDR S AND P TECH HARDWARE ETF
INVESCO S&P 100 EQUAL WT ETF
INVESCO S AND P 100 EQUAL WT ETF
INVS DWA MOM & LOW VOL ROT
INVS DWA MOM AND LOW VOL ROT
DELAWARE INVST DIV & INCOME
DELAWARE INVST DIV AND INCOME
GLOBAL X ROBOTICS & ART INTL
GLOBAL X ROBOTICS AND ART INTL
FIRST TR NASDAQ FOOD & BEVG
FIRST TR NASDAQ FOOD AND BEVG
MIDDLEFIELD HLTHCR&WELLNESS
MIDDLEFIELD HLTHCR AND WELLNESS
COHEN & STEERS TOT RET RLTY
COHEN AND STEERS TOT RET RLTY
INVESCO S&P INT DEV HIGH ETF
INVESCO S AND P INT DEV HIGH ETF
INVESCO S&P SMCP DIV VL ETF
INVESCO S AND P SMCP DIV VL ETF
HMS HYDRAULIC MACHINES & SYS
HMS HYDRAULIC MACHINES AND SYS
INDEXIQ ETF TR IQ S&P HGH Y
INDEXIQ ETF TR IQ S AND P HGH Y
SOLITARIO EXPLORATION & RLTY
SOLITARIO EXPLORATION AND RLTY
MATLIN & PARTNERS ACQ
MATLIN AND PARTNERS ACQ
INVESCO S&P 500 VALUE WTMMTM
INVESCO S AND P 500 VALUE WTMMTM
INVESCO S&P SMALLCAP QLT ETF
INVESCO S AND P SMALLCAP QLT ETF
US GLOBAL GD & PRC MT MI ETF
US GLOBAL GD AND PRC MT MI ETF
INVESCO S&P 500 MIN VAR ETF
INVESCO S AND P 500 MIN VAR ETF
MIDDLEFIELD HC & LF SC DV FD
MIDDLEFIELD HC AND LF SC DV FD
DELTASHARE S&P 500 MG RK ETF
DELTASHARE S AND P 500 MG RK ETF
DELTASH S&P 600 MGD RISK ETF
DELTASH S AND P 600 MGD RISK ETF
DELTASH S&P INT MGD RISK ETF
DELTASH S AND P INT MGD RISK ETF
DELTASHARE S&P 400 MD RK ETF
DELTASHARE S AND P 400 MD RK ETF
FIRST TR ISTL PF SC & IN ETF
FIRST TR ISTL PF SC AND IN ETF
PWRSH S&P/TSX REIT IN ID ETF
PWRSH S AND P/TSX REIT IN ID ETF
RBC PH&N SHT TRM CDN BD ETF
RBC PH AND N SHT TRM CDN BD ETF
HRZNS ROBTCS & ATMTN IDX ETF
HRZNS ROBTCS AND ATMTN IDX ETF
AAM S&P 500 HIGH DIV VAL ETF
AAM S AND P 500 HIGH DIV VAL ETF
AAM S&P EMRG MRKT HI DIV ETF
AAM S AND P EMRG MRKT HI DIV ETF
WSDMTR ICBCCS S&P CHN 500 FD
WSDMTR ICBCCS S AND P CHN 500 FD
PORTFOLIO S&P MID CAP ETF
PORTFOLIO S AND P MID CAP ETF
WYNDHAM HOTELS & RESRTS
WYNDHAM HOTELS AND RESRTS
FRST TRS IND IN TRN & PR ETF
FRST TRS IND IN TRN AND PR ETF
ISHRS EVL U.S. MD & ENT ETF
ISHRS EVL U.S. MD AND ENT ETF
INFRASTRUCTR & ENRGY ALT
INFRASTRUCTR AND ENRGY ALT
EVANS & SUTHERLAND CMP
EVANS & SUTHERL& CMP
GABELLI CONV & INCOME SEC FD
GABELLI CONV AND INCOME SEC FD
VOYA RETIREMENT INS &ANNUITY
H&R REAL ESTATE INVT TR
H AND R REAL ESTATE INVT TR
CALAMOS CONV OPP AND FD
CALAMOS CONV OPP & FD
BLACKROCK ENERGY AND RES TR
VOYA GLB EQ DIV AND PREM OPP
VOYA GLB EQ DIV & PREM OPP
VOYA GLOBAL ADV AND PREM OPP
VOYA GLOBAL ADV & PREM OPP
PIMCO DYNAMIC CREDIT AND MTG
PIMCO DYNAMIC CREDIT & MTG
AVEDA TRANSN AND ENERGY SVCS
AVEDA TRANSN & ENERGY SVCS
VOYA INFRASTR INDL AND MATLS
VOYA INFRASTR INDL & MATLS
ALPHA AND OMEGA SEMICONDUCTR
ALPHA & OMEGA SEMICONDUCTR
ISHARES MSCI ARGNTN AND GLB
ISHARES MSCI ARGNTN & GLB
ISHRS US DIV AND BUYBACK ETF
ISHRS US DIV & BUYBACK ETF
KRANESHARES ELT VHL AND FTR
KRANESHARES ELT VHL & FTR
